"CODIGO","CATEGORIA","SUBCATEGORIA","DESCRIPCION","STOCK","PROVEEDOR","PRECIO_COMPRA","FECHA_PRECIO","PRECIO_VENTA","CODIGO_PROV"
"AS01","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X 8 ONZAS","4","","13500","20/06/2026","30000",""
"AS02","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X LITRO","2","THERMO AIR S.A.S.","45000","20/06/2026","90000",""
"AS03","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X LITRO ROTULADO","18","","60000","1/04/2026","100000","1120"
"AS04","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X GALON","2","","180000","14/05/2026","300000",""
"AS05","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO PAG46 X 8 ONZAS","18","","","","",""
"AP05MF-16C","ACOPLE","MANULI FLANCHE","ACOPLE 7/8 A 90 M16 MANULI FLANCHE","","TRANSAIRE S.A.S.","","","180000",""
"AP05MF-16R","ACOPLE","MANULI FLANCHE","ACOPLE 7/8 RECTO M16 MANULI FLANCHE","","TRANSAIRE S.A.S.","","16/05/2026","180000",""
"AP05MF-16S","ACOPLE","MANULI FLANCHE","ACOPLE 7/8 A 45 M16 MANULI FLANCHE","","TRANSAIRE S.A.S.","","","180000",""
"AP04FL-10S","ACOPLE","MANULI FLER","ACOPLE 5/8 A 45 M10 MANULI FLER","","TRANSAIRE S.A.S.","","","95000",""
"AP05FL-10R","ACOPLE","MANULI FLER","ACOPLE 7/8 RECTO M10 MANULI FLER","","TRANSAIRE S.A.S.","","","",""
"AP06FL-16R","ACOPLE","MANULI FLER","ACOPLE 1 1/8 RECTO M16 MANULI FLER","","TRANSAIRE S.A.S.","","","",""
"AP03MO-10R","ACOPLE","MANULI ORING","ACOPLE 1/2 RECTO M10 MANULI ORING","","TRANSAIRE S.A.S.","","","95000",""
"AP03MO-10S","ACOPLE","MANULI ORING","ACOPLE 1/2 A 45 M10 MANULI ORING","","TRANSAIRE S.A.S.","","","80000","IAC272"
"AP03MO-8C","ACOPLE","MANULI ORING","ACOPLE 1/2 A 90 M8 MANULI ORING","","TRANSAIRE S.A.S.","","","180000","IAC284"
"AP04MO-10C","ACOPLE","MANULI ORING","ACOPLE 5/8 A 90 M10 MANULI ORING","","TRANSAIRE S.A.S.","","14/05/2026","95000","IAC247"
"AP04MO-10R","ACOPLE","MANULI ORING","ACOPLE 5/8 RECTO M10 MANULI ORING","","TRANSAIRE S.A.S.","","","",""
"AP04MO-10S","ACOPLE","MANULI ORING","ACOPLE 5/8 A 45 M10 MANULI ORING","","TRANSAIRE S.A.S.","","","95000","IAC248"
"AP04MO-12C","ACOPLE","MANULI ORING","ACOPLE 5/8 A 90 M12 MANULI ORING","","TRANSAIRE S.A.S.","","","",""
"AP04MO-12R","ACOPLE","MANULI ORING","ACOPLE 5/8 RECTO M12 MANULI ORING","","TRANSAIRE S.A.S.","","","125000","IAC271"
"AP04MO-12S","ACOPLE","MANULI ORING","ACOPLE 5/8 A 45 M12 MANULI ORING","","TRANSAIRE S.A.S.","","","125000","IAC273"
"AP05MO-12C","ACOPLE","MANULI ORING","ACOPLE 7/8 A 90 M12 MANULI ORING","","TRANSAIRE S.A.S.","","","125000","IAC251"
"AP05MO-12R","ACOPLE","MANULI ORING","ACOPLE 7/8 RECTO M12 MANULI ORING","","TRANSAIRE S.A.S.","","","",""
"AP05MO-12S","ACOPLE","MANULI ORING","ACOPLE 7/8 A 45 M12 MANULI ORING","","TRANSAIRE S.A.S.","","","125000","IAC250"
"AP05MO-16R","ACOPLE","MANULI ORING","ACOPLE 7/8 RECTO M16 MANULI ORING","","TRANSAIRE S.A.S.","","","160000","IAC255"
"AL01BO","ALTERNADOR","BOSCH","ALTERNADOR BOSCH 110AMP 24VLT ","","","","","2974000",""
"AL02BO","ALTERNADOR","BOSCH","ALTERNADOR BOSCH 140AMP 24VLT ","","","","","3100000",""
"AL03BO","ALTERNADOR","BOSCH","ALTERNADOR BOSCH 50AMP 24VLT ","","","","","",""
"AL04BO","ALTERNADOR","BOSCH","ALTERNADOR BOSCH 80AMP 24VLT ","","","","","1750000",""
"AL01CO","ALTERNADOR","CORONA","CORONA ALT BOSCH 110AMP 24VLT","","","","","",""
"AL02CO","ALTERNADOR","CORONA","CORONA ALT BOSCH 140AMP 24VLT","","","","","",""
"AL03CO","ALTERNADOR","CORONA","CORONA ALT BOSCH 50AMP 24VLT","","","","","",""
"AL04CO","ALTERNADOR","CORONA","CORONA ALT BOSCH 80AMP 24VLT","","","","","",""
"AL05CO","ALTERNADOR","CORONA","CORONA ALT PRESTOLITE 100AMP 24VLT","","","","","",""
"AL06CO","ALTERNADOR","CORONA","CORONA ALT PRESTOLITE 150AMP 24VLT","","","","","",""
"AL01PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT BOSCH 110AMP 24VLT","","","","","",""
"AL02PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT BOSCH 140AMP 24VLT","","","","","",""
"AL03PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT BOSCH 50AMP 24VLT","","","","","",""
"AL04PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT BOSCH 80AMP 24VLT","","","","","",""
"AL05PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT PRESTOLITE 100AMP 24VLT","","","","","",""
"AL06PD","ALTERNADOR","PORTADIODO","PORTADIODO ALT PRESTOLITE 150AMP 24VLT","","","","","",""
"AL01PL","ALTERNADOR","PRESTOLITE","ALTERNADOR PRESTOLITE 150AMP 24VLT","","","","","",""
"AL02PL","ALTERNADOR","PRESTOLITE","ALTERNADOR PRESTOLITE 100AMP 24VLT","","","","","0",""
"AL01RG","ALTERNADOR","REGULADOR","REGULADOR ALT BOSCH 110AMP 24VLT","","","","","",""
"AL02RG","ALTERNADOR","REGULADOR","REGULADOR ALT BOSCH 140AMP 24VLT","","","","","",""
"AL03RG","ALTERNADOR","REGULADOR","REGULADOR ALT BOSCH 50AMP 24VLT","","","","","",""
"AL04RG","ALTERNADOR","REGULADOR","REGULADOR ALT BOSCH 80AMP 24VLT","","","","","",""
"AL05RG","ALTERNADOR","REGULADOR","REGULADOR ALT PRESTOLITE 100AMP 24VLT","","","","","",""
"AL06RG","ALTERNADOR","REGULADOR","REGULADOR ALT PRESTOLITE 150AMP 24VLT","","","","","",""
"AL01RO","ALTERNADOR","ROTOR","ROTOR ALT BOSCH 110AMP 24VLT","","","","","",""
"AL02RO","ALTERNADOR","ROTOR","ROTOR ALT BOSCH 140AMP 24VLT","","","","","",""
"AL03RO","ALTERNADOR","ROTOR","ROTOR ALT BOSCH 50AMP 24VLT","","","","","",""
"AL04RO","ALTERNADOR","ROTOR","ROTOR ALT BOSCH 80AMP 24VLT","","","","","",""
"AL05RO","ALTERNADOR","ROTOR","ROTOR ALT PRESTOLITE 100AMP 24VLT","","","","","",""
"AL06RO","ALTERNADOR","ROTOR","ROTOR ALT PRESTOLITE 150AMP 24VLT","","","","","",""
"AR01","ARANDELA","ARANDELA","ARANDELA 10MM","","TRANSAIRE","","","300",""
"AR02","ARANDELA","ARANDELA","ARANDELA INFERIOR GRD","","TRANSAIRE","36320","16/06/2026","52000","ZBY281"
"AR03","ARANDELA","ARANDELA","ARANDELA INFERIOR PEQ","","TRANSAIRE","22668","16/06/2026","35000","FTA58Z"
"AR04","ARANDELA","ARANDELA","ARANDELA SUPERIOR GRD","","TRANSAIRE","22012","16/06/2026","35000","ZBY280"
"AR05","ARANDELA","ARANDELA","ARANDELA SUPERIOR PEQ","","TRANSAIRE","16327","16/06/2026","25000","FTA57Z"
"BO01CA","BOBINA","CARRIER","BOBINA COMP CARRIER   ","","","","","",""
"BO01FK","BOBINA","FK","BOBINA COMP FK40 GRD ORIGINAL ","","","","","",""
"BO02FK","BOBINA","FK","BOBINA COMP FK40 GRD REM/FDO ","","","","","230000",""
"BO03FK","BOBINA","FK","BOBINA COMP FK40 PEQ ORIGINAL ","","","","","",""
"BO04FK","BOBINA","FK","BOBINA COMP FK40 PEQ REM/FDO ","","","","","220000",""
"BO01TK","BOBINA","TK","BOBINA COMP TK GRD  ","","","","","",""
"BO02TK","BOBINA","TK","BOBINA COMP TK PEQ  ","","","","","",""
"BO01TM","BOBINA","TM","BOBINA COMP TM21 12VLT  ","","","","","",""
"BO02TM","BOBINA","TM","BOBINA COMP TM21 24VLT  ","","","","","",""
"BO03TM","BOBINA","TM","BOBINA COMP TM31 12VLT  ","","","","","220000",""
"BO04TM","BOBINA","TM","BOBINA COMP TM31 24VLT  ","","","","","",""
"CB01","CABLE","CABLE","CABLE N10","","","","","11000",""
"CB02","CABLE","CABLE","CABLE N14","","","","","4000",""
"CB03","CABLE","CABLE","CABLE N16","","","","","3600",""
"CB04","CABLE","CABLE","CABLE N4","","","","","40000",""
