"ESTADO","FECHA","CODIGO","CATEGORIA","SUBCATEGORIA","DESCRIPCION","PRECIO_COMPRA","CANTIDAD","PROVEEDOR","CODIGO_PROVEEDOR","DOCUMENTO_ORIGEN"
"ACTIVO","21/05/2026","SO03VA","SOLDADURA","VARILLAS","VARILLA SOLDADURA PLATA","1600","40","INVERPRIMOS S.A.S.","480-0016","#\\Desktop-fcmm5co\base_datos\Facturas_compra\2026\mayo\21-05-2026 17708 INVERPRIMOS S.A.S..pdf##"
"","22/05/2026","PN17EV","PANALES","EVAPORADOR","PANAL EVAPORADOR W PLUS","1780240","0","","PED05",""
"","9/06/2026","MT03CO","MOTOR","CONDENSADOR","MOTOR CONDENSADOR DONGING 24VLT PEQ","202800","0","TRANSAIRE","VSE07",""
"","16/06/2026","AR02","ARANDELA","ARANDELA","ARANDELA INFERIOR GRD","36320","0","TRANSAIRE","ZBY281",""
"","16/06/2026","AR02","ARANDELA","ARANDELA","ARANDELA INFERIOR GRD","36320","0","TRANSAIRE","ZBY281",""
"","16/06/2026","AR03","ARANDELA","ARANDELA","ARANDELA INFERIOR PEQ","22668","0","TRANSAIRE","FTA58Z",""
"","16/06/2026","AR04","ARANDELA","ARANDELA","ARANDELA SUPERIOR GRD","22012","0","TRANSAIRE","ZBY280",""
"","16/06/2026","AR05","ARANDELA","ARANDELA","ARANDELA SUPERIOR PEQ","16327","0","TRANSAIRE","FTA57Z",""
"","16/06/2026","HR02RS","HERRAJES","RESORTE","RESORTE COMPRESION PEQ  ","41151","0","TRANSAIRE S.A.S.","ETC146",""
"","20/06/2026","EL07FU","ELECTRICO","FUSIBLE","FUSIBLE 40 AMP","1000","0","","FUSIBLE ATO 40 AMP HELLA",""
"","20/06/2026","EL08FU","ELECTRICO","FUSIBLE","FUSIBLE 100 AMP","25000","0","","",""
"","20/06/2026","AS02","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X LITRO","","0","THERMO AIR S.A.S.","",""
"","20/06/2026","AS02","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X LITRO","45000","0","THERMO AIR S.A.S.","",""
"","20/06/2026","AS01","ACEITE SINTETICO","ACEITE SINTETICO","ACEITE SINTETICO RL100 X 8 ONZAS","13500","0","","",""
"","22/06/2026","PO10AL","POLEA","ALTERNADOR","POLEA ALT BOSCH 140AMP 2CB VOLVO","143326","0","","OPN111",""
